Studio;17.98;1;1;440;1;0;0;1601;449;2628
Studio;17.6;1;1;468;1;0;0;1845;648;1816
Studio;17.5;1;1;464;1;0;0;3648;593;3104
Studio;18.6;1;1;435;1;0;0;3510;1588;1247
Appartement;62.0;2;2;400;1;0;0;6201;350;3109
Appartement;60.5;2;2;403;1;0;0;3569;1452;2714
Appartement;62.3;2;2;390;1;0;0;7319;930;32
Appartement;64.4;2;2;438;1;0;0;6252;1757;3193
Appartement;58.26;3;2;709;0;0;1;294;88;2130
Appartement;53.9;3;2;722;0;0;1;7176;2532;3260
Appartement;53.9;3;2;702;0;0;1;4560;1359;3638
Appartement;62.4;3;2;767;0;0;1;1156;951;3153
Appartement;41.5;2;1;580;0;0;0;73;67;2722
Appartement;40.2;2;1;594;0;0;0;4163;795;2860
Appartement;40.0;2;1;562;0;0;0;1074;248;3031
Appartement;39.9;2;1;557;0;0;0;1898;996;1630
Appartement;48.0;2;1;592;0;0;0;205;244;2090
Appartement;50.1;2;1;637;0;0;0;2052;1777;1789
Appartement;48.3;2;1;567;0;0;0;91;59;1304
Appartement;50.4;2;1;620;0;0;0;1293;594;2063
Appartement;70.9;3;2;785;0;0;1;1776;688;3861
Appartement;65.6;3;2;777;0;0;1;215;206;1971
Appartement;75.9;3;2;747;0;0;1;492;175;1100
Appartement;68.5;3;2;735;0;0;1;6287;41;3010
Studio;19.2;1;1;460;1;0;0;1798;327;2080
Studio;17.9;1;1;453;1;0;0;3230;125;2849
Studio;18.3;1;1;503;1;0;0;760;661;1738
Studio;18.9;1;1;489;1;0;0;1682;158;3665
Appartement;103.35;5;4;797;1;0;1;4329;674;20
Appartement;107.7;5;4;753;1;0;1;4349;39;3552
Appartement;97.7;5;4;793;1;0;1;3943;82;1144
Appartement;108.8;5;4;816;1;0;1;5810;1777;3816
Appartement;70.14;3;2;805;1;0;0;5222;1194;4744
Appartement;72.6;3;2;788;1;0;0;3492;1186;3523
Appartement;66.3;3;2;869;1;0;0;1335;950;745
Appartement;65.5;3;2;777;1;0;0;992;541;2928
Appartement;68.0;3;2;766;0;0;0;4278;1024;2054
Appartement;63.4;3;2;740;0;0;0;1878;822;2636
Appartement;71.8;3;2;787;0;0;0;639;216;1940
Appartement;71.6;3;2;800;0;0;0;5416;262;4237
Appartement;65.79;4;3;730;1;0;0;4671;944;1208
Appartement;62.4;4;3;744;1;0;0;1496;41;2383
Appartement;70.4;4;3;751;1;0;0;7292;1008;4467
Appartement;66.3;4;3;781;1;0;0;1349;693;3665
Appartement;70.0;3;2;784;1;0;0;5438;641;4733
Appartement;69.0;3;2;749;1;0;0;445;203;1559
Appartement;73.7;3;2;787;1;0;0;4362;1466;2948
Appartement;65.9;3;2;845;1;0;0;5712;876;1474
Appartement;65.0;3;2;808;1;0;0;41;275;1507
Appartement;69.7;3;2;858;1;0;0;1601;603;392
Appartement;60.2;3;2;865;1;0;0;4009;2568;4092
Appartement;65.7;3;2;814;1;0;0;1141;841;3117
Appartement;64.0;3;2;742;0;0;0;4655;1862;1175
Appartement;68.3;3;2;686;0;0;0;2271;486;2832
Appartement;60.0;3;2;810;0;0;0;5379;2820;2025
Appartement;66.4;3;2;765;0;0;0;4109;327;1156
Studio;14.0;1;3;390;1;0;0;1852;912;390
Studio;12.9;1;3;371;1;0;0;1449;117;1247
Studio;14.7;1;3;400;1;0;0;1156;81;759
Studio;14.3;1;3;414;1;0;0;259;17;2248
Appartement;44.17;2;1;680;1;0;0;4964;2307;2229
Appartement;44.8;2;1;633;1;0;0;6744;1462;3542
